symbol,1,2,3,4,5,6,12,13,14,15,16,23,24,25,26,34,35,36,45,46,56,123,124,125,126,134,135,136,145,146,156
9,0.565098,0.524578,0.607021,0.794025,0.982226,0.564629,0.365320,0.327239,0.425564,0.526593,0.536603,0.426708,0.411511,0.504507,0.364553,0.560757,0.549836,0.327069,0.662714,0.425360,0.528335,0.299362,0.287198,0.309515,0.386404,0.291353,0.287839,0.333714,0.346415,0.346742,0.453859
A,0.707761,0.800493,0.878336,0.506148,0.503521,0.590686,0.614528,0.540396,0.356293,0.355431,0.482610,0.622787,0.402966,0.401803,0.469515,0.502053,0.455150,0.483340,0.509389,0.321413,0.357088,0.516857,0.309502,0.309078,0.464209,0.299089,0.279565,0.394974,0.274201,0.259782,0.301563
B,0.671745,0.753167,0.504205,0.506698,0.518428,0.507623,0.463358,0.337460,0.338372,0.431209,0.500396,0.495961,0.432710,0.384263,0.379792,0.536940,0.260743,0.255012,0.262964,0.255794,0.511993,0.288819,0.274024,0.309941,0.305612,0.271519,0.220641,0.250573,0.230610,0.250724,0.500652
C,0.538114,0.500801,0.500843,0.704388,0.681217,0.531648,0.294671,0.284089,0.367083,0.361449,0.693934,0.641953,0.355967,0.340912,0.287130,0.359466,0.340932,0.278751,0.618591,0.365097,0.373048,0.359669,0.194978,0.195629,0.340668,0.193079,0.185467,0.358520,0.320410,0.423352,0.452418
D,0.500393,0.632113,0.607021,0.548600,0.604757,0.500300,0.427903,0.314681,0.274421,0.306515,0.546996,0.428729,0.336102,0.352926,0.394301,0.449080,0.389416,0.312024,0.500319,0.274396,0.318847,0.263351,0.222713,0.239026,0.393209,0.233314,0.212124,0.298195,0.254766,0.285821,0.329224
E,0.503085,0.521559,0.633523,0.628722,0.507555,0.500050,0.482258,0.318510,0.315441,0.261806,0.263337,0.326329,0.321978,0.262991,0.262966,0.689309,0.319483,0.316790,0.321377,0.314389,0.485384,0.275826,0.273270,0.401167,0.382620,0.347467,0.162950,0.163236,0.163599,0.162343,0.364113
F,0.518714,0.511786,0.633523,0.500875,0.500469,0.509754,0.408342,0.385282,0.259612,0.259497,0.398229,0.507660,0.256145,0.256028,0.334117,0.319033,0.317503,0.346721,0.568102,0.257536,0.259619,0.338737,0.204336,0.204296,0.329674,0.193171,0.193203,0.277004,0.284255,0.234209,0.257989
G,0.698625,0.522346,0.501903,0.519730,0.931813,0.692952,0.393234,0.350668,0.356959,0.568961,0.635253,0.389275,0.363471,0.477468,0.389322,0.486914,0.467823,0.347808,0.504390,0.354067,0.574972,0.307873,0.292597,0.329819,0.397655,0.278001,0.285806,0.318717,0.300962,0.321050,0.586649
H,0.954880,0.888808,0.784984,0.621357,0.535833,0.592197,0.751261,0.628423,0.541760,0.497227,0.537857,0.651161,0.506196,0.462048,0.492898,0.532252,0.411696,0.432486,0.458201,0.416675,0.535945,0.650171,0.438713,0.395759,0.430065,0.441012,0.324832,0.340842,0.374584,0.337630,0.414664
I,0.954880,0.888808,0.784984,0.621357,0.535833,0.592197,0.751261,0.628423,0.541760,0.497227,0.537857,0.651161,0.506195,0.462048,0.492898,0.532252,0.411696,0.432486,0.458201,0.416675,0.535945,0.650171,0.447972,0.395759,0.434081,0.441012,0.324832,0.340819,0.374584,0.337630,0.421189
J,0.698625,0.522346,0.501903,0.519730,0.931813,0.692952,0.393234,0.350668,0.356959,0.568961,0.635253,0.389275,0.363471,0.477468,0.389322,0.486914,0.467823,0.347808,0.504390,0.354067,0.574972,0.307873,0.292597,0.329819,0.397762,0.277838,0.285805,0.318568,0.300962,0.321050,0.590017
K,0.518714,0.511786,0.633523,0.500875,0.500469,0.509754,0.408342,0.385282,0.259612,0.259497,0.398229,0.507660,0.256145,0.256028,0.334117,0.319033,0.317503,0.346721,0.568102,0.257536,0.259619,0.338737,0.204336,0.204296,0.329674,0.193173,0.193234,0.276269,0.284996,0.234209,0.257983
L,0.503085,0.521559,0.633523,0.628722,0.507555,0.500050,0.482258,0.318510,0.315441,0.261806,0.263337,0.326329,0.321978,0.262991,0.262966,0.689309,0.319483,0.316790,0.321377,0.314389,0.485384,0.275826,0.273270,0.401167,0.393333,0.347351,0.162950,0.163241,0.163599,0.162334,0.340682
M,0.500393,0.632113,0.607021,0.548600,0.604757,0.500300,0.427903,0.314681,0.274421,0.306515,0.546996,0.428729,0.336102,0.352926,0.394301,0.449080,0.389416,0.312024,0.500319,0.274396,0.318847,0.263351,0.222707,0.239026,0.393209,0.232892,0.212124,0.298195,0.254766,0.285816,0.329047
N,0.538114,0.500801,0.500843,0.704388,0.681217,0.531648,0.294671,0.284089,0.367083,0.361351,0.693934,0.641953,0.355967,0.340912,0.287130,0.359466,0.340932,0.278751,0.618591,0.365097,0.373048,0.335255,0.194978,0.195629,0.340668,0.192877,0.185467,0.358520,0.320857,0.423352,0.455689
