symbol,1,2,3,4,5,6,12,13,14,15,16,23,24,25,26,34,35,36,45,46,56,123,124,125,126,134,135,136,145,146,156
9,0.903932,0.964245,0.839560,0.519443,0.073867,0.904639,1.668529,1.779500,1.462905,1.013968,0.978286,1.400041,1.484159,1.047426,1.671114,1.221809,0.985269,1.779940,0.837949,1.463318,1.009928,2.555019,2.106929,1.905550,2.689939,2.292566,1.953959,1.812407,1.834045,1.798480,1.494274
A,0.675008,0.507064,0.347233,0.991112,0.994914,0.864895,1.052379,1.146451,1.669847,1.671481,1.329903,0.969667,1.501789,1.504047,1.347688,1.074477,1.278598,1.263799,1.518081,1.782791,1.661058,1.456995,2.067494,2.067468,2.052080,2.162855,2.077560,1.845303,2.894338,2.341143,2.494794
B,0.735632,0.595170,0.993926,0.990315,0.973249,0.988974,1.419821,1.732044,1.730045,1.386735,1.221211,1.135768,1.380585,1.579508,1.587911,1.517595,1.968932,1.985553,1.962533,1.983318,1.484868,2.391354,2.180341,1.993978,2.470543,2.817796,2.347684,2.265693,2.267277,2.263952,2.445095
C,0.944292,0.998845,0.998783,0.680780,0.719898,0.953847,1.862296,1.897285,1.648571,1.665377,1.070045,1.521144,1.668239,1.719230,1.886981,1.656181,1.719180,1.913888,1.325459,1.652357,1.622244,2.780040,2.593462,2.595722,2.409968,2.595174,2.643866,2.225195,2.502519,2.284967,1.983908
D,0.999433,0.799970,0.839560,0.928702,0.843090,0.999568,1.374723,1.804435,1.928381,1.830243,1.149001,1.356763,1.749997,1.711324,1.520120,1.420565,1.588788,1.812850,1.421415,1.928446,1.791117,2.252205,2.354834,2.302628,2.350355,2.500646,2.449477,1.986349,2.552590,2.041038,2.029713
E,0.995544,0.968669,0.797719,0.805369,0.989073,0.999928,1.143061,1.793053,1.802817,1.965703,1.960559,1.773589,1.787217,1.962512,1.962265,1.413565,1.791274,1.797643,1.785202,1.805294,1.178642,2.044091,2.053178,1.586436,1.984761,2.747663,2.775476,2.774261,2.771015,2.779567,2.532272
F,0.972831,0.982930,0.797719,0.998737,0.999323,0.985882,1.458315,1.560159,1.972119,1.972440,1.546984,1.282200,1.982218,1.982548,1.742121,1.790719,1.795491,1.701775,1.503076,1.978161,1.972063,2.427818,2.457680,2.457805,2.334440,2.540312,2.553273,2.407925,2.761716,2.280583,2.256564
G,0.690597,0.967517,0.997253,0.971346,0.220514,0.700202,1.495711,1.686090,1.674011,1.015765,0.848068,1.484695,1.641947,1.199500,1.517344,1.364414,1.213907,1.695832,1.068609,1.683628,1.000532,1.964131,2.113527,1.860588,2.254458,2.614796,2.017485,1.851636,2.051858,1.845859,1.472615
H,0.158474,0.323810,0.536559,0.817044,0.947668,0.862566,0.685859,0.914804,1.031081,1.118173,1.023324,0.979093,1.201766,1.291316,1.240264,1.206950,1.491166,1.456111,1.391477,1.482336,1.416433,1.289575,1.571186,1.646090,2.034110,1.770114,1.901286,1.889272,1.952699,1.848095,2.500365
I,0.158474,0.323810,0.536559,0.817044,0.947668,0.862566,0.685859,0.914804,1.031081,1.118173,1.023324,0.979093,1.197788,1.291316,1.240264,1.206950,1.491166,1.456079,1.391477,1.482336,1.416433,1.289575,1.550752,1.646090,1.889542,1.770114,1.901286,1.889169,1.952699,1.848095,2.421036
J,0.690597,0.967517,0.997253,0.971346,0.220514,0.700202,1.495711,1.686090,1.674011,1.015765,0.848068,1.484695,1.641947,1.199500,1.517344,1.364414,1.213907,1.695832,1.068609,1.683622,1.000532,1.964131,2.113527,1.860588,2.253270,2.617986,2.017261,1.847362,2.051858,1.845859,1.443585
K,0.972831,0.982930,0.797719,0.998737,0.999323,0.985882,1.458315,1.560145,1.972119,1.972440,1.546984,1.282200,1.982218,1.982548,1.742121,1.790719,1.795491,1.701775,1.503076,1.978161,1.972063,2.427818,2.457680,2.457805,2.334440,2.540324,2.553089,2.418823,2.765501,2.280583,2.256435
L,0.995544,0.968669,0.797719,0.805369,0.989073,0.999928,1.143061,1.793053,1.802817,1.965703,1.960559,1.773591,1.787250,1.962512,1.962265,1.413565,1.791266,1.797643,1.785202,1.805294,1.178642,2.044091,2.053178,1.586436,2.022733,2.740280,2.775476,2.774270,2.771015,2.779621,2.882619
M,0.999433,0.799970,0.839560,0.928702,0.843090,0.999568,1.374723,1.804435,1.928381,1.830243,1.149001,1.356763,1.749997,1.711324,1.520120,1.420565,1.588788,1.812850,1.421415,1.928446,1.791117,2.252205,2.354052,2.302628,2.350355,2.506294,2.449477,1.986349,2.552590,2.056082,2.036792
